motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18624-10456,18624,Council,2025-01-21,10456,CD-1 Rezoning: 4545-4575 West 10th Avenue,2025-01-21T11:34:49-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10455,18624,Council,2025-01-21,10455,"2025 Cultural Grants (Projects, Advance, Multiyear, Cultural Spaces)",2025-01-21T11:30:38-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10454,18624,Council,2025-01-21,10454,Federal Funding for Cambie Street Bridge Seismic Upgrade Project,2025-01-21T11:29:04-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18708-10443,18708,Special Council,2024-12-18,10443,"1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - Main Motion as Amended",2024-12-18T16:38:08-08:00,Carried Unanimously,10,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18708-10442,18708,Special Council,2024-12-18,10442,"1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - Second Amendment",2024-12-18T16:23:57-08:00,Carried Unanimously,10,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18708-10441,18708,Special Council,2024-12-18,10441,"1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - first amendment",2024-12-18T16:22:19-08:00,Carried Unanimously,10,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10434,18710,City Finance & Services,2024-12-12,10434,Report 1. Broadway Plan Review and Implementation,2024-12-12T19:19:17-08:00,Carried Unanimously,10,"{""In Favour"": 7, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10433,18710,City Finance & Services,2024-12-12,10433,Report 1. Broadway Plan Review and Implementation,2024-12-12T19:18:34-08:00,Carried,10,"{""In Favour"": 6, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10431,18710,City Finance & Services,2024-12-12,10431,Report 1. Broadway Plan Review and Implementation,2024-12-12T19:17:31-08:00,Carried,10,"{""In Favour"": 5, ""In Opposition"": 1, ""Abstain"": 1, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10430,18710,City Finance & Services,2024-12-12,10430,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:47:42-08:00,Carried,10,"{""In Favour"": 5, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10429,18710,City Finance & Services,2024-12-12,10429,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:46:51-08:00,Lost,10,"{""In Favour"": 2, ""In Opposition"": 5, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10428,18710,City Finance & Services,2024-12-12,10428,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:45:48-08:00,Carried,10,"{""In Favour"": 6, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10427,18710,City Finance & Services,2024-12-12,10427,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:45:11-08:00,Carried,10,"{""In Favour"": 6, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10426,18710,City Finance & Services,2024-12-12,10426,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:44:41-08:00,Carried,10,"{""In Favour"": 6, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18710-10425,18710,City Finance & Services,2024-12-12,10425,Report 1. Broadway Plan Review and Implementation,2024-12-12T18:12:15-08:00,Carried Unanimously,10,"{""In Favour"": 7, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18542-10424,18542,City Finance & Services,2024-12-11,10424,Report 5. Contract Award for Golf Course Operators,2024-12-11T23:51:33-08:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18542-10423,18542,City Finance & Services,2024-12-11,10423,Report 3. Contract Award for Construction Services - City-wide Cut Repair Project,2024-12-11T23:51:09-08:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18542-10422,18542,City Finance & Services,2024-12-11,10422,Report 2. Building By-law Harmonization Opportunities,2024-12-11T23:50:50-08:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
